time,pitch,yaw,hfov
10,0,0,100
23,0,0,100
35,0,0,100
54,0,0,100
66,0,0,100
71,0,0,100
81,0,0,100
620,0,0,100
630,0,0,100
640,0,0,100
650,0,0,100
660,0,0,100
673,0,0,100
680,0,0,100
690,0,0,100
700,0,0,100
710,0,0,100
721,0,0,100
730,0,0,100
741,0,0,100
751,0,0,100
761,0,0,100
771,0,0,100
781,0,0,100
791,0,0,100
801,0,0,100
810,0,0,100
822,0,0,100
831,0,0,100
840,0,0,100
850,0,0,100
860,0,0,100
871,0,0,100
881,0,0,100
897,0,0,100
900,0,0,100
910,0,0,100
920,0,0,100
931,0,0,100
940,0,0,100
950,0,0,100
960,0,0,100
970,0,0,100
980,0,0,100
990,0,0,100
1000,0,0,100
1010,0,0,100
1021,0,0,100
1031,0,0,100
1041,0,0,100
1051,0,0,100
1062,0,0,100
1070,0,0,100
1080,0,0,100
1090,0,0,100
1100,0,0,100
1110,0,0,100
1120,0,0,100
1131,0,0,100
1141,0,0,100
1151,0,0,100
1161,0,0,100
1171,0,0,100
1180,0,0,100
1190,0,0,100
1201,0,0,100
1210,0,0,100
1220,0,0,100
1230,0,0,100
1240,0,0,100
1250,0,0,100
1260,0,0,100
1270,0,0,100
1280,0,0,100
1290,0,0,100
1300,0,0,100
1311,0,0,100
1321,0,0,100
1330,0,0,100
1340,0,0,100
1350,0,0,100
1360,0,0,100
1380,0,0,100
1382,0,0,100
1390,0,0,100
1401,0,0,100
1411,0,0,100
1421,0,0,100
1430,0,0,100
1441,0,0,100
1450,0,0,100
1462,0,0,100
1470,0,0,100
1481,0,0,100
1490,0,0,100
1501,0,0,100
1511,0,0,100
1521,0,0,100
1530,0,0,100
1542,0,0,100
1552,0,0,100
1561,0,0,100
1571,0,0,100
1600,0,0,100
1600,0,0,100
1619,0,0,100
1626,0,0,100
1630,0,0,100
1640,0,-0.12246324498903505,100
1650,0,-0.12246324498903505,100
1660,-0.149105472396601,-0.49100914499342707,100
1673,-0.149105472396601,-0.49100914499342707,100
1680,-0.44750813305750087,-0.861279486749936,100
1691,-0.7461540965561907,-1.482192983662344,100
1700,-0.7461540965561907,-1.482192983662344,100
1711,-1.0450285170714129,-2.7380188146103137,100
1720,-1.6434030048735635,-5.0438954521483765,100
1730,-1.6434030048735635,-5.0438954521483765,100
1740,-2.242511527376913,-8.203053776695924,100
1752,-2.392389193248275,-8.872471089757823,100
1761,-2.392389193248275,-8.872471089757823,100
1774,-2.6922518927935286,-10.901985691546656,100
1780,-2.6922518927935286,-10.901985691546656,100
1791,-2.8422331225145836,-11.859303508377252,100
1802,-2.8422331225145836,-13.098887075503399,100
1810,-2.8422331225145836,-13.098887075503399,100
1823,-2.542303281939523,-14.626161903462503,100
1833,-2.542303281939523,-16.44639581421768,100
1842,-2.542303281939523,-17.291366272731807,100
1851,-2.542303281939523,-17.291366272731807,100
1860,-2.542303281939523,-18.56375639524913,100
1871,-2.542303281939523,-19.699038941790832,100
1880,-2.542303281939523,-19.699038941790832,100
1897,-2.542303281939523,-21.6932566508915,100
1920,-2.542303281939523,-22.97877063539488,100
1937,-2.6922518927935286,-23.264683491157143,100
1941,-2.6922518927935286,-23.979718212142984,100
1952,-2.6922518927935286,-24.408854573107988,100
1970,-2.6922518927935286,-24.981090322554792,100
1980,-2.6922518927935286,-25.55330295611293,100
1991,-2.6922518927935286,-25.696341668582136,100
2000,-2.6922518927935286,-25.982391652351794,100
2012,-2.8422331225145836,-26.26839543094593,100
2020,-2.9922450653122024,-27.268878455046774,100
2031,-2.9922450653122024,-27.840075835065363,100
2040,-3.2923534553673526,-29.123364368795706,100
2055,-3.2923534553673526,-29.834865067771148,100
2060,-3.2923534553673526,-29.834865067771148,100
2077,-3.2923534553673526,-30.545117154171123,100
2081,-3.2923534553673526,-30.545117154171123,100
2090,-3.2923534553673526,-30.687002476905604,100
2102,-3.2923534553673526,-30.970597011879534,100
2110,-3.2923534553673526,-31.112303485475877,100
2120,-3.2923534553673526,-31.395528025117073,100
2130,-3.2923534553673526,-31.537043374305995,100
2143,-3.442446079870656,-31.961185518398565,100
2150,-3.442446079870656,-31.961185518398565,100
2161,-3.442446079870656,-32.24359692312885,100
2177,-3.442446079870656,-32.38469360799331,100
2180,-3.442446079870656,-32.38469360799331,100
2190,-3.442446079870656,-32.52571584204884,100
2200,-3.442446079870656,-32.666662301326426,100
2210,-3.442446079870656,-32.666662301326426,100
2221,-3.442446079870656,-32.80753166625078,100
2232,-3.442446079870656,-32.80753166625078,100
2241,-3.442446079870656,-32.948322621709735,100
2250,-3.442446079870656,-32.948322621709735,100
2260,-3.442446079870656,-32.948322621709735,100
2272,-3.442446079870656,-32.948322621709735,100
2281,-3.442446079870656,-32.948322621709735,100
2294,-3.442446079870656,-32.948322621709735,100
2300,-3.442446079870656,-32.948322621709735,100
2310,-3.442446079870656,-32.948322621709735,100
2321,-3.442446079870656,-32.948322621709735,100
2330,-3.442446079870656,-32.948322621709735,100
2341,-3.442446079870656,-32.948322621709735,100
2351,-3.442446079870656,-32.948322621709735,100
2360,-3.442446079870656,-32.948322621709735,100
2370,-3.442446079870656,-32.948322621709735,100
2383,-3.442446079870656,-32.948322621709735,100
2393,-3.442446079870656,-32.948322621709735,100
2402,-3.442446079870656,-32.948322621709735,100
2410,-3.442446079870656,-32.948322621709735,100
2420,-3.442446079870656,-32.948322621709735,100
2431,-3.442446079870656,-32.948322621709735,100
2440,-3.442446079870656,-32.948322621709735,100
2450,-3.442446079870656,-32.948322621709735,100
2460,-3.442446079870656,-32.948322621709735,100
2471,-3.442446079870656,-32.948322621709735,100
2481,-3.442446079870656,-32.948322621709735,100
2491,-3.442446079870656,-32.948322621709735,100
2503,-3.442446079870656,-32.948322621709735,100
2510,-3.442446079870656,-32.948322621709735,100
2521,-3.442446079870656,-32.948322621709735,100
2530,-3.442446079870656,-32.948322621709735,100
2540,-3.442446079870656,-32.948322621709735,100
2550,-3.442446079870656,-32.948322621709735,100
2560,-3.442446079870656,-32.948322621709735,100
2570,-3.442446079870656,-32.948322621709735,100
2580,-3.442446079870656,-32.948322621709735,100
2590,-3.442446079870656,-32.948322621709735,100
2600,-3.442446079870656,-32.948322621709735,100
2613,-3.442446079870656,-32.948322621709735,100
2620,-3.442446079870656,-32.948322621709735,100
2630,-3.442446079870656,-32.948322621709735,100
2640,-3.442446079870656,-32.948322621709735,100
2650,-3.442446079870656,-32.948322621709735,100
2661,-3.442446079870656,-32.948322621709735,100
2671,-3.442446079870656,-32.948322621709735,100
2680,-3.442446079870656,-32.948322621709735,100
2690,-3.442446079870656,-32.948322621709735,100
2700,-3.442446079870656,-32.948322621709735,100
2710,-3.442446079870656,-32.948322621709735,100
2720,-3.442446079870656,-32.948322621709735,100
2730,-3.442446079870656,-32.948322621709735,100
2740,-3.442446079870656,-32.948322621709735,100
2750,-3.442446079870656,-32.948322621709735,100
2760,-3.442446079870656,-32.948322621709735,100
2770,-3.442446079870656,-32.948322621709735,100
2780,-3.442446079870656,-32.948322621709735,100
2790,-3.442446079870656,-32.948322621709735,100
2800,-3.442446079870656,-32.948322621709735,100
2810,-3.442446079870656,-32.948322621709735,100
2820,-3.442446079870656,-32.948322621709735,100
2830,-3.442446079870656,-32.948322621709735,100
2841,-3.442446079870656,-32.948322621709735,100
2851,-3.442446079870656,-32.948322621709735,100
2860,-3.442446079870656,-32.948322621709735,100
2871,-3.442446079870656,-32.948322621709735,100
2881,-3.442446079870656,-32.948322621709735,100
2890,-3.442446079870656,-32.948322621709735,100
2901,-3.442446079870656,-32.948322621709735,100
2910,-3.442446079870656,-32.948322621709735,100
2924,-3.442446079870656,-32.948322621709735,100
2931,-3.442446079870656,-32.948322621709735,100
2940,-3.442446079870656,-32.948322621709735,100
2951,-3.442446079870656,-32.948322621709735,100
2963,-3.442446079870656,-32.948322621709735,100
2970,-3.442446079870656,-32.948322621709735,100
2980,-3.442446079870656,-32.948322621709735,100
2990,-3.442446079870656,-32.948322621709735,100
3000,-3.442446079870656,-32.948322621709735,100
3017,-3.442446079870656,-32.948322621709735,100
3022,-3.442446079870656,-32.948322621709735,100
3032,-3.442446079870656,-32.948322621709735,100
3040,-3.442446079870656,-32.948322621709735,100
3050,-3.442446079870656,-32.948322621709735,100
3060,-3.442446079870656,-32.948322621709735,100
3070,-3.442446079870656,-32.948322621709735,100
3084,-3.442446079870656,-32.948322621709735,100
3090,-3.442446079870656,-33.04616899243683,100
3101,-3.582861320967472,-33.24247554994395,100
3110,-3.723451725710887,-33.538472510094095,100
3124,-3.723451725710887,-33.538472510094095,100
3130,-3.8642160411064825,-33.93601131633102,100
3140,-4.005153003230738,-34.43757099970759,100
3150,-4.2875397575513094,-35.046264921632826,100
3160,-4.428986967598966,-35.55921250972062,100
3172,-4.5706016601604045,-36.2860729901347,100
3180,-4.712382517257796,-37.770443806114145,100
3191,-4.996437399786952,-39.96192185442703,100
3201,-4.996437399786952,-39.96192185442703,100
3210,-5.4237323964933015,-43.051879379757054,100
3221,-5.5664819684470865,-44.35335328870343,100
3235,-5.5664819684470865,-46.534821786429916,100
3242,-5.5664819684470865,-47.5244865324259,100
3258,-5.852449637290059,-49.03146500217662,100
3265,-5.995664919839182,-50.43580921859797,100
3274,-6.139032607864896,-53.17446586951985,100
3280,-6.2825512687148475,-54.637231472594465,100
3292,-6.2825512687148475,-55.98257318492949,100
3300,-6.570035727930538,-57.06883920073767,100
3316,-7.002358320358352,-61.07203344605182,100
3329,-7.291286690098012,-62.332237183247344,100
3332,-7.291286690098012,-62.332237183247344,100
3345,-7.725719075121938,-66.15025414375282,100
3352,-7.725719075121938,-67.1469760966798,100
3362,-7.725719075121938,-68.28838154037169,100
3389,-8.45244344146792,-72.29225354742584,100
3413,-9.18233552302518,-75.71725837683255,100
3425,-9.18233552302518,-78.4104504323198,100
3432,-9.18233552302518,-78.4104504323198,100
3441,-9.18233552302518,-78.97438517544174,100
3460,-9.18233552302518,-81.35611293497897,100
3468,-9.18233552302518,-81.35611293497897,100
3473,-9.18233552302518,-83.2961222316103,100
3480,-9.18233552302518,-83.2961222316103,100
3498,-9.18233552302518,-85.62085201476691,100
3501,-9.18233552302518,-85.62085201476691,100
3521,-9.036113280989252,-87.23865102311953,100
3532,-9.036113280989252,-88.43820892631334,100
3558,-8.161362471823676,-91.4452320923678,100
3561,-8.161362471823676,-91.4452320923678,100
3570,-8.161362471823676,-91.4452320923678,100
3580,-7.725719075121938,-92.08711246236999,100
3590,-7.291286690098012,-92.97830189693036,100
3601,-7.14675217240726,-93.35753366027109,100
3610,-7.002358320358352,-93.73511767612473,100
3620,-6.713998610837326,-93.98591717249184,100
3630,-6.570035727930538,-94.85782949299681,100
3641,-6.139032607864896,-95.47494511267712,100
3655,-5.5664819684470865,-96.33082750140989,100
3660,-5.5664819684470865,-96.33082750140989,100
3670,-5.138708736042442,-96.81561897682735,100
3683,-4.996437399786952,-97.05683559323404,100
3690,-4.996437399786952,-97.05683559323404,100
3700,-4.854328210231546,-97.29726201421386,100
3711,-4.854328210231546,-97.29726201421386,100
3720,-4.712382517257796,-97.53689529175767,100
3731,-4.712382517257796,-97.53689529175767,100
3742,-4.5706016601604045,-97.53689529175767,100
3750,-4.428986967598966,-97.65641361040355,100
3760,-4.428986967598966,-97.65641361040355,100
3770,-4.2875397575513094,-97.89485188417405,100
3780,-4.2875397575513094,-97.89485188417405,100
3790,-4.2875397575513094,-98.01377117022616,100
3802,-4.2875397575513094,-98.13249012085066,100
3810,-4.2875397575513094,-98.13249012085066,100
3820,-4.2875397575513094,-98.13249012085066,100
3830,-4.2875397575513094,-98.13249012085066,100
3840,-4.2875397575513094,-98.13249012085066,100
3850,-4.2875397575513094,-98.13249012085066,100
3860,-4.2875397575513094,-98.13249012085066,100
3870,-4.2875397575513094,-98.13249012085066,100
3881,-4.2875397575513094,-98.13249012085066,100
3890,-4.2875397575513094,-98.13249012085066,100
3900,-4.2875397575513094,-98.13249012085066,100
3910,-4.2875397575513094,-98.13249012085066,100
3920,-4.2875397575513094,-98.13249012085066,100
3931,-4.2875397575513094,-98.13249012085066,100
3940,-4.2875397575513094,-98.13249012085066,100
3950,-4.2875397575513094,-98.13249012085066,100
3960,-4.2875397575513094,-98.13249012085066,100
3981,-4.2875397575513094,-98.13249012085066,100
4003,-4.2875397575513094,-98.13249012085066,100
4015,-4.2875397575513094,-98.13249012085066,100
4021,-4.2875397575513094,-98.13249012085066,100
4030,-4.2875397575513094,-98.13249012085066,100
4040,-4.2875397575513094,-98.13249012085066,100
4050,-4.2875397575513094,-98.13249012085066,100
4061,-4.2875397575513094,-98.13249012085066,100
4075,-4.2875397575513094,-98.13249012085066,100
4080,-4.2875397575513094,-98.13249012085066,100
4091,-4.2875397575513094,-98.13249012085066,100
4100,-4.2875397575513094,-98.13249012085066,100
4111,-4.2875397575513094,-98.13249012085066,100
4120,-4.2875397575513094,-98.13249012085066,100
4131,-4.2875397575513094,-98.13249012085066,100
4141,-4.2875397575513094,-98.13249012085066,100
4151,-4.2875397575513094,-98.13249012085066,100
4161,-4.2875397575513094,-98.13249012085066,100
4171,-4.2875397575513094,-98.13249012085066,100
4181,-4.2875397575513094,-98.13249012085066,100
4191,-4.2875397575513094,-98.13249012085066,100
4201,-4.2875397575513094,-98.13249012085066,100
4213,-4.2875397575513094,-98.13249012085066,100
4220,-4.2875397575513094,-98.13249012085066,100
4230,-4.2875397575513094,-98.13249012085066,100
4241,-4.2875397575513094,-98.13249012085066,100
4251,-4.2875397575513094,-98.13249012085066,100
4261,-4.2875397575513094,-98.13249012085066,100
4271,-4.2875397575513094,-98.13249012085066,100
4281,-4.2875397575513094,-98.13249012085066,100
4291,-4.2875397575513094,-98.13249012085066,100
4301,-4.2875397575513094,-98.13249012085066,100
4311,-4.2875397575513094,-98.13249012085066,100
4328,-4.2875397575513094,-98.13249012085066,100
4331,-4.2875397575513094,-98.13249012085066,100
4340,-4.2875397575513094,-98.13249012085066,100
4350,-4.2875397575513094,-98.13249012085066,100
4361,-4.2875397575513094,-98.13249012085066,100
4370,-4.2875397575513094,-98.13249012085066,100
4380,-4.2875397575513094,-98.13249012085066,100
4390,-4.2875397575513094,-98.13249012085066,100
4400,-4.2875397575513094,-98.13249012085066,100
4410,-4.2875397575513094,-98.13249012085066,100
4420,-4.2875397575513094,-98.13249012085066,100
4430,-4.2875397575513094,-98.13249012085066,100
4440,-4.2875397575513094,-98.13249012085066,100
4450,-4.2875397575513094,-98.13249012085066,100
4463,-4.2875397575513094,-98.13249012085066,100
4476,-4.4356410300034215,-97.91960260260714,100
4480,-4.4356410300034215,-97.91960260260714,100
4490,-4.583830308813569,-97.91960260260714,100
4500,-4.732105822842603,-97.91960260260714,100
4510,-4.732105822842603,-97.91960260260714,100
4521,-4.880465794582969,-97.91960260260714,100
4531,-4.880465794582969,-97.91960260260714,100
4541,-5.177431970048949,-98.13249012085066,100
4550,-5.177431970048949,-98.13249012085066,100
4560,-5.326034588006609,-98.56077067323179,100
4570,-5.326034588006609,-98.56077067323179,100
4580,-6.219209853008425,-100.86400898652153,100
4590,-6.517485317833355,-102.45039089776697,100
4600,-6.816011481154696,-103.9595143202942,100
4613,-7.862612857881988,-107.6948456074108,100
4663,-9.511563308375777,-118.67934863966383,100
4679,-9.961908469370258,-123.12256405036504,100
4714,-9.811771625241164,-129.0787084074894,100
4725,-9.66165593287908,-131.93827069886345,100
4748,-8.911461745801954,-136.7920454440798,100
4752,-8.911461745801954,-136.7920454440798,100
4761,-8.761513134947947,-138.06948386178453,100
4773,-8.461721380385338,-139.059607492057,100
4784,-7.413756593393693,-142.00707835357116,100
4795,-7.114773533308013,-142.84172236019896,100
4801,-7.114773533308013,-142.84172236019896,100
4810,-6.816011481154696,-143.67254805936818,100
4832,-5.326034588006609,-146.68221015887758,100
4842,-4.139528256108744,-149.09586028070146,100
4852,-4.139528256108744,-149.09586028070146,100
4866,-3.400878607931555,-151.06931378623568,100
4874,-2.8117522447951404,-152.4928360682879,100
4880,-2.8117522447951404,-152.4928360682879,100
4890,-2.5178244745941685,-153.89522144242335,100
4900,-2.3710253490848547,-154.273905735558,100
4910,-2.2243382926359705,-154.52544454324243,100
4920,-2.2243382926359705,-154.77624403960954,100
4932,-1.93130702676279,-155.15104727337132,100
4940,-1.93130702676279,-155.39997908144568,100
4950,-1.93130702676279,-155.39997908144568,100
4960,-1.7849661168463564,-155.52416229491052,100
4970,-1.7849661168463564,-155.6481563601145,100
4980,-1.7849661168463564,-155.77196077028373,100
4990,-1.7849661168463564,-155.77196077028373,100
5001,-1.7849661168463564,-155.89557502593152,100
5010,-1.7849661168463564,-155.89557502593152,100
5020,-1.7849661168463564,-156.01899863483982,100
5030,-1.7849661168463564,-156.01899863483982,100
5041,-1.7849661168463564,-156.1422311120403,100
5050,-1.7849661168463564,-156.26527197979476,100
5060,-1.7849661168463564,-156.26527197979476,100
5070,-1.7849661168463564,-156.26527197979476,100
5080,-1.7849661168463564,-156.26527197979476,100
5091,-1.7849661168463564,-156.26527197979476,100
5100,-1.7849661168463564,-156.26527197979476,100
5110,-1.7849661168463564,-156.26527197979476,100
5121,-1.7849661168463564,-156.26527197979476,100
5130,-1.7849661168463564,-156.26527197979476,100
